id	Latitude	Longitude	Order	ifhqmag
133	47	-88	Lecanoromycetes	1
134	46	-63	Lecanoromycetes	0
135	45	-63	Lecanoromycetes	1
136	37	-108	Lecanoromycetes	0
137	32	-113	Lecanoromycetes	0
138	32	-117	Lecanoromycetes	1
139	36.5	-113	Lecanoromycetes	0
140	40	-111	Lecanoromycetes	0
141	38.9419763	-114.3251844	Lecanoromycetes	0
142	38.9419763	-114.3251844	Lecanoromycetes	1
143	38.9419763	-114.3251844	Lecanoromycetes	1
144	39	-113	Lecanoromycetes	0
145	30.8	-115.4	Lecanoromycetes	0
146	39.5	-121.1	Lecanoromycetes	0
147	-11	-76	Lecanoromycetes	1
148	-60.79	-63.4	Lecanoromycetes	1
149	49.41	75.45	Lecanoromycetes	0
150	-35.5214656	148.7514031	Lecanoromycetes	1
151	-35.5214656	148.7514032	Lecanoromycetes	1
152	34.3828	-85.6289	Arthoniomycetes	0
153	35.4675	-83.5617	Lecanoromycetes	0
154	35.5631	-83.4983	Lecanoromycetes	1
155	35.61	-83.4467	Lecanoromycetes	1
156	35.47	-83.5583	Lecanoromycetes	0
157	35.47	-83.5583	Lecanoromycetes	1
158	34.97797	-85.81031	Lecanoromycetes	1
159	34.97797	-85.81031	Lecanoromycetes	0
160	34.35056	-85.67525	Lecanoromycetes	1
161	34.35056	-85.67525	Lecanoromycetes	1
162	35.4675	-83.5617	Lecanoromycetes	1
163	34.35056	-85.67525	Lecanoromycetes	0
164	34.35056	-85.67525	Lecanoromycetes	0
165	34.35056	-85.67525	Dothideomycetes	0
166	34.4717	-86.0511	Lecanoromycetes	1
167	34.45592	-85.58447	Lecanoromycetes	0
168	34.45592	-85.58447	Eurotiomycetes	1
169	34.36786	-85.62986	Lecanoromycetes	0
170	34.36786	-85.62986	Lecanoromycetes	0
171	34.3736	-85.6922	Lecanoromycetes	0
172	34.3736	-85.6922	Lecanoromycetes	1
173	34.3736	-85.6922	Lecanoromycetes	1
174	34.36786	-85.62986	Lecanoromycetes	0
175	34.3736	-85.6922	Lecanoromycetes	0
176	34.36786	-85.62986	Lecanoromycetes	1
177	34.3736	-85.6922	Lecanoromycetes	1
178	34.3736	-85.6922	Lecanoromycetes	0
179	34.47731	-86.0583	Unknown	0
180	35.4828	-83.5597	Lecanoromycetes	0
181	34.3736	-85.6922	Lecanoromycetes	0
182	34.3736	-85.6922	Lecanoromycetes	0
183	34.3736	-85.6922	Lecanoromycetes	0
184	34.3736	-85.6922	Lecanoromycetes	1
185	34.3736	-85.6922	Lichinomycetes	0
186	34.3736	-85.6922	Lecanoromycetes	1
187	34.4717	-86.0511	Lecanoromycetes	1
188	34.4717	-86.0511	Lecanoromycetes	0
189	34.4717	-86.0511	Lecanoromycetes	1
190	34.4717	-86.0511	Lecanoromycetes	1
191	34.4717	-86.0511	Arthoniomycetes	0
192	34.4717	-86.0511	Lecanoromycetes	0
193	34.4717	-86.0511	Lecanoromycetes	1
194	34.4717	-86.0511	Lecanoromycetes	0
195	34.4717	-86.0511	Lecanoromycetes	0
196	35.585	-83.4747	Lecanoromycetes	1
197	34.47731	-86.0583	Lecanoromycetes	0
198	34.47731	-86.0583	Arthoniomycetes	0
199	34.47731	-86.0583	Lecanoromycetes	1
200	34.47731	-86.0583	Lecanoromycetes	1
201	34.47731	-86.0583	Unknown	0
202	34.47731	-86.0583	Lecanoromycetes	1
203	34.47731	-86.0583	Lecanoromycetes	0
204	35.585	-83.4747	Lecanoromycetes	0
205	34.47731	-86.0583	Lecanoromycetes	1
206	34.47731	-86.0583	Lecanoromycetes	0
207	34.47731	-86.0583	Lecanoromycetes	1
208	35.0233	-83.1706	Lecanoromycetes	1
209	35.0253	-83.1747	Lecanoromycetes	1
210	35.5631	-83.4983	Lecanoromycetes	1
211	35.0261	-83.1778	Lecanoromycetes	0
212	35.0261	-83.1778	Lecanoromycetes	0
213	35.0261	-83.1778	Lecanoromycetes	0
214	35.1058	-83.2033	Lecanoromycetes	1
215	35.1036	-83.2075	Lecanoromycetes	0
216	35.1036	-83.2075	Lecanoromycetes	1
217	35.0253	-83.1747	Lecanoromycetes	1
218	35.0253	-83.1747	Lecanoromycetes	1
219	35.5631	-83.4983	Lecanoromycetes	0
220	35.0253	-83.1747	Lecanoromycetes	0
221	35.1036	-83.2075	Lecanoromycetes	0
222	35.1036	-83.2075	Lecanoromycetes	1
223	35.1036	-83.2075	Lecanoromycetes	1
224	35.61	-83.4467	Lecanoromycetes	0
225	35.1036	-83.2075	Lecanoromycetes	0
226	35.1036	-83.2075	Lecanoromycetes	1
227	35.1036	-83.2075	Lecanoromycetes	1
228	35.1036	-83.2075	Lecanoromycetes	1
229	35.7314	-79.1053	Lecanoromycetes	0
230	35.1058	-83.2033	Lecanoromycetes	1
231	35.1058	-83.2033	Lecanoromycetes	0
232	35.1058	-83.2033	Lecanoromycetes	0
233	35.1058	-83.2033	Lecanoromycetes	0
234	35.5994	-83.1033	Lecanoromycetes	0
235	35.5994	-83.1033	Lecanoromycetes	1
236	35.5994	-83.1033	Lecanoromycetes	1
237	35.5994	-83.1033	Lecanoromycetes	1
238	35.653239	-83.431689	Lecanoromycetes	0
239	35.653239	-83.431689	Lecanoromycetes	1
240	35.5325	-83.4256	Lecanoromycetes	0
241	35.654972	-83.445981	Lecanoromycetes	1
242	35.5575	-83.7417	Lecanoromycetes	0
243	35.549192	-83.503792	Eurotiomycetes	0
244	35.549192	-83.503792	Lecanoromycetes	0
245	35.685	-83.2714	Lecanoromycetes	0
246	35.585	-83.4747	Lecanoromycetes	1
247	35.5411	-83.5764	Lecanoromycetes	0
248	35.4961	-83.6183	Lecanoromycetes	0
249	35.549192	-83.503792	Eurotiomycetes	1
250	35.4675	-83.5617	Lecanoromycetes	1
251	35.4828	-83.5597	Lecanoromycetes	0
252	35.653239	-83.431689	Lecanoromycetes	0
253	35.653239	-83.431689	Lecanoromycetes	0
254	34.3839	-85.6306	Lecanoromycetes	0
255	35.6956	-83.2486	Arthoniomycetes	0
256	35.4894	-83.5608	Lecanoromycetes	0
257	35.483511	-83.814758	Lecanoromycetes	1
258	35.475203	-83.810139	Lecanoromycetes	0
259	35.475203	-83.810139	Lecanoromycetes	0
260	35.483511	-83.814758	Lecanoromycetes	0
261	35.483511	-83.814758	Lecanoromycetes	0
262	35.475203	-83.810139	Lecanoromycetes	1
263	35.4675	-83.5617	Lecanoromycetes	0
264	35.483511	-83.814758	Unknown	0
265	35.483511	-83.814758	Lecanoromycetes	0
266	35.483511	-83.814758	Lecanoromycetes	1
267	35.483511	-83.814758	Lecanoromycetes	1
268	35.483511	-83.814758	Arthoniomycetes	0
269	35.483511	-83.814758	Lecanoromycetes	1
270	35.483511	-83.814758	Lecanoromycetes	0
271	35.483511	-83.814758	Lecanoromycetes	0
272	35.483511	-83.814758	Lecanoromycetes	0
273	35.483511	-83.814758	Lecanoromycetes	1
274	35.483511	-83.814758	Lecanoromycetes	1
275	35.483511	-83.814758	Lecanoromycetes	1
276	35.475203	-83.810139	Lecanoromycetes	0
277	38.5569	-78.395	Lecanoromycetes	1
278	35.1097	-83.1978	Lecanoromycetes	1
279	35.7147	-82.2694	Lecanoromycetes	1
280	35.1356	-83.1911	Lecanoromycetes	1
281	35.4372	-83.7481	Lecanoromycetes	1
282	35.1356	-83.1911	Lecanoromycetes	1
283	35.5631	-83.4983	Lecanoromycetes	1
284	35.1356	-83.1911	Lecanoromycetes	0
285	35.1356	-83.1911	Lecanoromycetes	1
286	35.1356	-83.1911	Lecanoromycetes	0
287	35.6261	-83.5003	Lecanoromycetes	0
288	35.6261	-83.5003	Lecanoromycetes	1
289	35.6261	-83.5003	Lecanoromycetes	1
290	35.585	-83.4747	Lecanoromycetes	1
291	35.5631	-83.4983	Lecanoromycetes	1
292	35.4292	-83.7547	Lecanoromycetes	0
293	35.4069	-83.7647	Lecanoromycetes	0
294	35.4069	-83.7647	Lecanoromycetes	1
295	35.4069	-83.7647	Eurotiomycetes	0
296	35.4072	-83.5931	Lecanoromycetes	0
297	35.4072	-83.5931	Lecanoromycetes	0
298	35.4072	-83.5931	Lecanoromycetes	0
299	35.4072	-83.5931	Lecanoromycetes	1
300	35.5631	-83.4983	Lecanoromycetes	1
301	35.4072	-83.5931	Lecanoromycetes	1
302	35.4072	-83.5931	Arthoniomycetes	0
303	35.4072	-83.5931	Lecanoromycetes	1
304	35.4072	-83.5931	Lecanoromycetes	0
305	35.3669	-83.6289	Lecanoromycetes	1
306	35.4072	-83.5931	Lecanoromycetes	0
307	35.1356	-83.1911	Lecanoromycetes	0
308	35.585	-83.4747	Lecanoromycetes	1
309	35.4292	-83.7547	Lecanoromycetes	0
310	35.4292	-83.7547	Lecanoromycetes	1
311	35.1356	-83.1911	Lecanoromycetes	0
312	35.1356	-83.1911	Lecanoromycetes	1
313	35.1356	-83.1911	Lecanoromycetes	1
314	35.1356	-83.1911	Lecanoromycetes	0
315	35.1356	-83.1911	Lecanoromycetes	0
316	35.4372	-83.7481	Lecanoromycetes	1
317	35.5631	-83.4983	Lecanoromycetes	0
318	35.1356	-83.1911	Lecanoromycetes	0
319	35.1356	-83.1911	Lecanoromycetes	0
320	35.1356	-83.1911	Lecanoromycetes	1
321	35.4372	-83.7481	Lecanoromycetes	1
322	35.1356	-83.1911	Lecanoromycetes	1
323	35.3272	-83.9931	Lecanoromycetes	1
324	35.3272	-83.9931	Lecanoromycetes	1
325	35.1356	-83.1911	Lecanoromycetes	0
326	35.4372	-83.7481	Arthoniomycetes	0
327	35.5631	-83.4983	Lecanoromycetes	1
328	35.4828	-83.5597	Lecanoromycetes	1
329	35.4372	-83.7481	Lecanoromycetes	1
330	35.3094	-84.0261	Lecanoromycetes	1
331	35.1081	-83.18	Lecanoromycetes	1
332	35.3094	-84.0261	Lecanoromycetes	1
333	35.47	-83.5583	Lecanoromycetes	0
334	35.5631	-83.4983	Lecanoromycetes	1
335	35.4675	-83.5617	Lecanoromycetes	0
336	35.61	-83.4467	Lecanoromycetes	1
337	35.47	-83.5583	Lecanoromycetes	0
338	35.4828	-83.5597	Lecanoromycetes	1
339	35.4828	-83.5597	Lecanoromycetes	0
340	35.4675	-83.5617	Lecanoromycetes	0
341	35.47	-83.5583	Lecanoromycetes	0
342	35.47	-83.5583	Arthoniomycetes	0
343	35.5631	-83.4983	Lecanoromycetes	0
344	35.4675	-83.5617	Lecanoromycetes	0
345	35.5631	-83.4983	Lecanoromycetes	1
346	35.5631	-83.4983	Lecanoromycetes	1
347	35.61	-83.4467	Arthoniomycetes	0
348	35.4828	-83.5597	Lecanoromycetes	0
349	34.308	-87.50314	Lecanoromycetes	1
350	34.308	-87.50314	Lecanoromycetes	1
351	34.308	-87.50314	Lecanoromycetes	0
352	34.308	-87.50314	Dothideomycetes	0
353	34.308	-87.50314	Lecanoromycetes	0
354	34.308	-87.50314	Lecanoromycetes	1
355	34.308	-87.50314	Lecanoromycetes	1
356	34.308	-87.50314	Dothideomycetes	0
357	34.308	-87.50314	Dothideomycetes	0
358	34.308	-87.50314	Lecanoromycetes	0
359	34.308	-87.50314	Lecanoromycetes	0
360	34.308	-87.50314	Eurotiomycetes	0
361	34.308	-87.50314	Lecanoromycetes	1
